search_term,match_rank,loinc,loinc_url,status,long_common_name,short_name,class_type,component,property,time_aspect,system,scale_type,method_type,example_units,class
24 Hours Microalbumin,9,58448-2,https://loinc.org/58448-2,ACTIVE,Microalbumin ug/min [Mass/time] in 24 hour Urine,Microalbumin ug/min 24H Ur-mRate,1,Albumin ug/min,MRat,24H,Urine,Qn,Detection limit <= 20 mg/L,ug/min,CHEM
24 Hours Microalbumin,10,14958-3,https://loinc.org/14958-3,ACTIVE,Microalbumin/Creatinine [Mass Ratio] in 24 hour Urine,Microalbumin/Creat 24h Ur,1,Albumin/Creatinine,MRto,24H,Urine,Qn,Detection limit <= 20 mg/L,mg/g creatinine,CHEM
24 Hours Microalbumin,11,47558-2,https://loinc.org/47558-2,ACTIVE,Microalbumin/Protein.total in 24 hour Urine,Microalbumin 24h MFr Ur,1,Albumin/Protein.total,MFr,24H,Urine,Qn,Detection limit <= 20 mg/L,%,CHEM
24 Hours Microalbumin,12,77254-1,https://loinc.org/77254-1,ACTIVE,Microalbumin/Creatinine [Ratio] in 24 hour Urine by Detection limit <= 1.0 mg/L,Microalbumin/Creat 24h Ur DL<=1mg/L-Rto,1,Albumin/Creatinine,Ratio,24H,Urine,Qn,Detection limit <= 1.0 mg/L,mg/mmol creatinine,CHEM
APTT -Test,1,50197-3,https://loinc.org/50197-3,ACTIVE,aPTT panel - Platelet poor plasma,aPTT Pnl PPP,1,aPTT panel,-,Pt,PPP,Qn,,,PANEL.COAG
APTT -Test,2,34529-8,https://loinc.org/34529-8,ACTIVE,PT and aPTT panel - Platelet poor plasma by Coagulation assay,PT + aPTT Pnl PPP,1,PT & aPTT panel,-,Pt,PPP,Qn,Coag,,PANEL.COAG
APTT -Test,3,97024-4,https://loinc.org/97024-4,ACTIVE,aPTT mixing study panel - Platelet poor plasma,aPTT Mix Pnl PPP,1,aPTT mixing study panel,-,Pt,PPP,-,,,PANEL.COAG
APTT -Test,4,48022-8,https://loinc.org/48022-8,ACTIVE,aPTT.lupus sensitive actual/normal (normalized LA screen),Screen aPTT/normal,1,Coagulation surface induced.lupus sensitive actual/Normal,RelTime,Pt,PPP,Qn,,,COAG
APTT -Test,5,75507-4,https://loinc.org/75507-4,ACTIVE,aPTT.lupus sensitive W excess phospholipid percent correction,aPTT % correction,1,Coagulation surface induced.lupus sensitive percent correction,PctDiff,Pt,PPP,Qn,Coag,%,COAG
APTT -Test,6,75509-0,https://loinc.org/75509-0,ACTIVE,aPTT.lupus sensitive with 1:1 PNP actual/Normal (normalized LA mix),Mixing aPTT/normal,1,Coagulation surface induced.lupus sensitive with 1:1 Pooled Normal Plasma actual/Normal,RelTime,Pt,PPP,Qn,Coag,%,COAG
APTT -Test,7,75508-2,https://loinc.org/75508-2,ACTIVE,aPTT.lupus sensitive W excess phospholipid actual/Normal (normalized LA confirm),Confirm aPTT/normal,1,Coagulation surface induced.lupus sensitive.excess phospholipid actual/Normal,RelTime,Pt,PPP,Qn,Coag,%,COAG
APTT -Test,8,75510-8,https://loinc.org/75510-8,ACTIVE,aPTT.lupus sensitive with 1:1 PNP (LA mix),Mixing aPTT,1,Coagulation surface induced.lupus sensitive with 1:1 Pooled Normal Plasma,Time,Pt,PPP,Qn,Coag,s,COAG
APTT -Test,9,75506-6,https://loinc.org/75506-6,ACTIVE,aPTT.lupus sensitive W excess phospholipid (LA confirm),Confirm aPTT,1,Coagulation surface induced.lupus sensitive.excess phospholipid,Time,Pt,PPP,Qn,Coag,s,COAG
APTT -Test,10,34571-0,https://loinc.org/34571-0,ACTIVE,aPTT.lupus sensitive (LA screen),Screen aPTT,1,Coagulation surface induced.lupus sensitive,Time,Pt,PPP,Qn,Coag,s,COAG
APTT -Test,11,75884-7,https://loinc.org/75884-7,ACTIVE,aPTT.lupus sensitive/aPTT.lupus sensitive W excess phospholipid (screen to confirm ratio),aPTT screen to confirm ratio,1,Coagulation surface induced.lupus sensitive/Coagulation surface induced.lupus sensitive.excess phospholipid,Ratio,Pt,PPP,Qn,Coag,ratio,COAG
APTT -Test,12,49045-8,https://loinc.org/49045-8,ACTIVE,PT and aPTT and Fibrinogen panel - Platelet poor plasma by Coagulation assay,PT + aPTT + Fibrinogen Pnl PPP,1,PT & aPTT & Fibrinogen panel,-,Pt,PPP,Qn,Coag,,PANEL.COAG
APTT -Test,13,96267-0,https://loinc.org/96267-0,ACTIVE,Delta aPTT W excess hexagonal phospholipid [Time] in Platelet poor plasma by Coagulation assay,Delta aPTT Hex PPP,1,Delta coagulation surface induced.hexagonal phase phospholipid,TimeDif,Pt,PPP,Qn,Coag,s,COAG
APTT -Test,14,76021-5,https://loinc.org/76021-5,ACTIVE,Delta aPTT [Time] in Platelet poor plasma by Coagulation assay,Delta aPTT PPP,1,Delta aPTT,TimeDif,Pt,PPP,Qn,Coag,s,COAG
APTT -Test,15,5899-0,https://loinc.org/5899-0,ACTIVE,aPTT normal/actual in Platelet poor plasma by Coagulation assay,aPTT Inv Ratio PPP,1,Coagulation surface induced normal/Actual,RelTime,Pt,PPP,Qn,Coag,,COAG
APTT -Test,16,33930-9,https://loinc.org/33930-9,ACTIVE,aPTT W excess hexagonal phospholipid (StaClot LA confirm),Confirm aPTT StaClot,1,Coagulation surface induced.hexagonal phase phospholipid,PrThr,Pt,PPP,Ord,,,COAG
APTT -Test,18,34572-8,https://loinc.org/34572-8,ACTIVE,aPTT.lupus sensitive in Control Platelet poor plasma by Coagulation assay,aPTT-LA Cont PPP,1,Coagulation surface induced.lupus sensitive,Time,Pt,PPP^Control,Qn,Coag,s,COAG
APTT -Test,19,103620-1,https://loinc.org/103620-1,ACTIVE,Lupus anticoagulant aPTT screening panel - Platelet poor plasma by Coagulation assay,LA aPTT screening panel PPP,1,Lupus anticoagulant aPTT screening panel,-,Pt,PPP,-,Coag,,PANEL.COAG
APTT -Test,20,93237-6,https://loinc.org/93237-6,ACTIVE,aPTT.lupus sensitive.excess phospholipid actual/normal in Platelet poor plasma by Coagulation assay --post heparin neutralization,aPTT-LA confirm Act/Nor p hep neut PPP,1,Coagulation surface induced.lupus sensitive.excess phospholipid actual/Normal^post heparin neutralization,RelTime,Pt,PPP,Qn,Coag,%,COAG
APTT -Test,21,3282-1,https://loinc.org/3282-1,ACTIVE,aPTT W excess hexagonal phase phospholipid in Platelet poor plasma by Coagulation assay,aPTT Hex PL PPP,1,Coagulation surface induced.hexagonal phase phospholipid,Time,Pt,PPP,Qn,Coag,s,COAG
APTT -Test,22,3173-2,https://loinc.org/3173-2,ACTIVE,aPTT in Blood by Coagulation assay,aPTT Bld,1,Coagulation surface induced,Time,Pt,Bld,Qn,Coag,s,COAG
APTT -Test,23,14979-9,https://loinc.org/14979-9,ACTIVE,aPTT in Platelet poor plasma by Coagulation assay,aPTT PPP,1,Coagulation surface induced,Time,Pt,PPP,Qn,Coag,s,COAG
APTT -Test,24,93236-8,https://loinc.org/93236-8,ACTIVE,aPTT.lupus sensitive.excess phospholipid in Platelet poor plasma by Coagulation assay --post heparin neutralization,aPTT-LA confirm p hep neut PPP,1,Coagulation surface induced.lupus sensitive.excess phospholipid^post heparin neutralization,Time,Pt,PPP,Qn,Coag,s,COAG
APTT -Test,25,52767-1,https://loinc.org/52767-1,ACTIVE,Activated partial thromboplastin time (aPTT) in Platelet poor plasma by Coagulation assay -- after addition of protein C activator/Activated partial thromboplastin time (aPTT),aPTTprotein C activator/aPTT PPP,1,Coagulation surface induced^after addition of protein C activator/Coagulation surface induced,TRto,Pt,PPP,Qn,Coag,,COAG
APTT -Test,26,52766-3,https://loinc.org/52766-3,ACTIVE,aPTT in Platelet poor plasma by Coagulation assay -- after addition of protein C activator + Factor V depleted plasma/aPTT,aPTT protein C activator+FV DP/aPTT PPP,1,Coagulation surface induced^after addition of protein C activator+Factor V depleted plasma/Coagulation surface induced,TRto,Pt,PPP,Qn,Coag,,COAG
APTT -Test,27,12185-5,https://loinc.org/12185-5,ACTIVE,aPTT in Control Blood by Coagulation assay,aPTT Cont Bld,1,Coagulation surface induced,Time,Pt,Bld^Control,Qn,Coag,s,COAG
APTT -Test,29,13488-2,https://loinc.org/13488-2,ACTIVE,aPTT in Control Platelet poor plasma by Coagulation assay,aPTT Cont PPP,1,Coagulation surface induced,Time,Pt,PPP^Control,Qn,Coag,s,COAG
APTT -Test,30,50754-1,https://loinc.org/50754-1,ACTIVE,aPTT in Pooled Platelet poor plasma by Coagulation assay,aPTT Pool PPP,1,Coagulation surface induced,Time,Pt,PPP^Pool,Qn,Coag,s,COAG
APTT -Test,31,40100-0,https://loinc.org/40100-0,ACTIVE,aPTT in Platelet poor plasma by Coagulation assay --baseline,aPTT BS PPP,1,Coagulation surface induced^baseline,Time,Pt,PPP,Qn,Coag,s,COAG
APTT -Test,32,75914-2,https://loinc.org/75914-2,ACTIVE,aPTT W hexagonal phospholipid/Normal (StaClot LA confirm),Normalized confirm aPTT StaClot,1,Coagulation surface induced.hexagonal phase phospholipid actual/Normal,RelTime,Pt,PPP,Qn,Coag,%,COAG
APTT -Test,33,93235-0,https://loinc.org/93235-0,ACTIVE,aPTT.lupus sensitive in Platelet poor plasma by Coagulation assay --post heparin neutralization,aPTT-LA p hep neut PPP,1,Coagulation surface induced.lupus sensitive^post heparin neutralization,Time,Pt,PPP,Qn,Coag,s,COAG
APTT -Test,34,49058-1,https://loinc.org/49058-1,ACTIVE,aPTT in Blood drawn from CRRT circuit by Coagulation assay,aPTT BldCRRT,1,Coagulation surface induced,Time,Pt,BldCRRT,Qn,Coag,s,COAG
APTT -Test,35,52751-5,https://loinc.org/52751-5,ACTIVE,aPTT.factor sensitive in Platelet poor plasma by Coagulation assay,aPTT-FS PPP,1,Coagulation surface induced.factor sensitive,Time,Pt,PPP,Qn,Coag,s,COAG
APTT -Test,36,53570-8,https://loinc.org/53570-8,ACTIVE,aPTT.lupus insensitive in Platelet poor plasma by Coagulation assay,aPTT-LA insens PPP,1,Coagulation surface induced.lupus insensitive,Time,Pt,PPP,Qn,Coag,s,COAG
APTT -Test,37,13059-1,https://loinc.org/13059-1,ACTIVE,aPTT in Platelet poor plasma by Coagulation assay --3rd specimen,aPTT sp3 PPP,1,Coagulation surface induced^3rd specimen,Time,Pt,PPP,Qn,Coag,s,COAG
APTT -Test,38,13060-9,https://loinc.org/13060-9,ACTIVE,aPTT in Platelet poor plasma by Coagulation assay --4th specimen,aPTT sp4 PPP,1,Coagulation surface induced^4th specimen,Time,Pt,PPP,Qn,Coag,s,COAG
APTT -Test,39,16631-4,https://loinc.org/16631-4,ACTIVE,aPTT in Blood by Coagulation 1:1 saline,aPTT Bld 1:1 saline,1,Coagulation surface induced,Time,Pt,Bld,Qn,Coag.saline 1:1,s,COAG
APTT -Test,41,16630-6,https://loinc.org/16630-6,ACTIVE,aPTT in Control Blood by Coagulation 1:1 saline,aPTT Cont Bld 1:1 saline,1,Coagulation surface induced,Time,Pt,Bld^Control,Qn,Coag.saline 1:1,s,COAG
APTT -Test,42,43734-3,https://loinc.org/43734-3,ACTIVE,aPTT in Platelet poor plasma by Coagulation 1:1 saline,aPTT PPP 1:1 saline,1,Coagulation surface induced,Time,Pt,PPP,Qn,Coag.saline 1:1,s,COAG
APTT -Test,43,61191-3,https://loinc.org/61191-3,ACTIVE,aPTT in Platelet poor plasma from Fetus by Coagulation assay,aPTT PPP Fetus,1,Coagulation surface induced,Time,Pt,PPP^Fetus,Qn,Coag,s,COAG
APTT -Test,44,63561-5,https://loinc.org/63561-5,ACTIVE,aPTT actual/normal in Platelet poor plasma by Coagulation assay,aPTT Act/Nor PPP,1,Coagulation surface induced actual/Normal,RelTime,Pt,PPP,Qn,Coag,ratio,COAG
APTT -Test,45,15362-7,https://loinc.org/15362-7,ACTIVE,aPTT.inhibitor sensitive in Platelet poor plasma by Coagulation assay,aPTT Inhib Sens PPP,1,Coagulation surface induced.inhibitor sensitive,Time,Pt,PPP,Qn,Coag,s,COAG
APTT -Test,46,13058-3,https://loinc.org/13058-3,ACTIVE,aPTT in Platelet poor plasma by Coagulation assay --2nd specimen,aPTT sp2 PPP,1,Coagulation surface induced^2nd specimen,Time,Pt,PPP,Qn,Coag,s,COAG
APTT -Test,47,48590-4,https://loinc.org/48590-4,ACTIVE,aPTT in Platelet poor plasma by Coagulation assay --after addition of APC,aPTT after addition of APC PPP,1,Coagulation surface induced^after addition of APC,Time,Pt,PPP,Qn,Coag,s,COAG
APTT -Test,48,91104-0,https://loinc.org/91104-0,ACTIVE,aPTT.factor sensitive with 1:1 Pooled Normal Plasma in Platelet poor plasma by Coagulation assay,Mixing aPTT PPP,1,Coagulation surface induced.factor sensitive with 1:1 Pooled Normal Plasma,Time,Pt,PPP,Qn,Coag,s,COAG
Serum Iron,1,50190-8,https://loinc.org/50190-8,ACTIVE,Iron and Iron binding capacity panel - Serum or Plasma,Iron+TIBC Pnl SerPl,1,Iron & Iron binding capacity panel,-,Pt,Ser/Plas,Qn,,,PANEL.CHEM
Serum Iron,2,2502-3,https://loinc.org/2502-3,ACTIVE,Iron saturation [Mass Fraction] in Serum or Plasma,Iron Satn MFr SerPl,1,Iron saturation,MFr,Pt,Ser/Plas,Qn,,%,CHEM
Serum Iron,3,14801-5,https://loinc.org/14801-5,ACTIVE,Iron saturation [Molar fraction] in Serum or Plasma,Iron Satn SFr SerPl,1,Iron saturation,SFr,Pt,Ser/Plas,Qn,,%,CHEM
Serum Iron,7,75689-0,https://loinc.org/75689-0,ACTIVE,Iron panel - Serum or Plasma,Iron Pnl SerPl,1,Iron panel,-,Pt,Ser/Plas,Qn,,,PANEL.CHEM
Serum Iron,8,14797-5,https://loinc.org/14797-5,ACTIVE,Iron [Interpretation] in Serum or Plasma,Iron SerPl-Imp,1,Iron,Imp,Pt,Ser/Plas,Nom,,,CHEM
Serum Iron,9,44326-7,https://loinc.org/44326-7,ACTIVE,Iron [Presence] in Serum or Plasma,Iron SerPl Ql,1,Iron,PrThr,Pt,Ser/Plas,Ord,,,CHEM
Serum Iron,10,14798-3,https://loinc.org/14798-3,ACTIVE,Iron [Moles/volume] in Serum or Plasma,Iron SerPl-sCnc,1,Iron,SCnc,Pt,Ser/Plas,Qn,,umol/L,CHEM
Serum Iron,11,2498-4,https://loinc.org/2498-4,ACTIVE,Iron [Mass/volume] in Serum or Plasma,Iron SerPl-mCnc,1,Iron,MCnc,Pt,Ser/Plas,Qn,,ug/L,CHEM
Serum Iron,13,60517-0,https://loinc.org/60517-0,ACTIVE,Iron/Transferrin [Ratio] in Serum or Plasma,Iron/Transferrin SerPl-Rto,1,Iron/Transferrin,Ratio,Pt,Ser/Plas,Qn,,umol/g,CHEM
Serum Iron,14,13452-8,https://loinc.org/13452-8,ACTIVE,Iron/Transferrin [Mass Ratio] in Serum or Plasma,Iron/Transferrin SerPl,1,Iron/Transferrin,MRto,Pt,Ser/Plas,Qn,,ug/g,CHEM
Serum Iron,15,50200-5,https://loinc.org/50200-5,ACTIVE,Iron [Mass/volume] in Serum or Plasma --3rd specimen,Iron sp3 SerPl-mCnc,1,Iron^3rd specimen,MCnc,Pt,Ser/Plas,Qn,,ug/dL,CHEM
Serum Iron,16,50201-3,https://loinc.org/50201-3,ACTIVE,Iron [Mass/volume] in Serum or Plasma --4th specimen,Iron sp4 SerPl-mCnc,1,Iron^4th specimen,MCnc,Pt,Ser/Plas,Qn,,ug/dL,CHEM
Serum Iron,17,50202-1,https://loinc.org/50202-1,ACTIVE,Iron [Mass/volume] in Serum or Plasma --5th specimen,Iron sp5 SerPl-mCnc,1,Iron^5th specimen,MCnc,Pt,Ser/Plas,Qn,,ug/dL,CHEM
Serum Iron,18,50203-9,https://loinc.org/50203-9,ACTIVE,Iron [Mass/volume] in Serum or Plasma --6th specimen,Iron sp6 SerPl-mCnc,1,Iron^6th specimen,MCnc,Pt,Ser/Plas,Qn,,ug/dL,CHEM
Serum Iron,19,50204-7,https://loinc.org/50204-7,ACTIVE,Iron [Mass/volume] in Serum or Plasma --7th specimen,Iron sp7 SerPl-mCnc,1,Iron^7th specimen,MCnc,Pt,Ser/Plas,Qn,,ug/dL,CHEM
Serum Iron,20,50205-4,https://loinc.org/50205-4,ACTIVE,Iron [Mass/volume] in Serum or Plasma --8th specimen,Iron sp8 SerPl-mCnc,1,Iron^8th specimen,MCnc,Pt,Ser/Plas,Qn,,ug/dL,CHEM
Serum Iron,21,2500-7,https://loinc.org/2500-7,ACTIVE,Iron binding capacity [Mass/volume] in Serum or Plasma,TIBC SerPl-mCnc,1,Iron binding capacity,MCnc,Pt,Ser/Plas,Qn,,ug/dL,CHEM
Serum Iron,23,14800-7,https://loinc.org/14800-7,ACTIVE,Iron binding capacity [Moles/volume] in Serum or Plasma,TIBC SerPl-sCnc,1,Iron binding capacity,SCnc,Pt,Ser/Plas,Qn,,umol/L,CHEM
Serum Iron,24,22753-8,https://loinc.org/22753-8,ACTIVE,Iron binding capacity.unsaturated [Moles/volume] in Serum or Plasma,UIBC SerPl-sCnc,1,Iron binding capacity.unsaturated,SCnc,Pt,Ser/Plas,Qn,,umol/L,CHEM
Serum Iron,25,50198-1,https://loinc.org/50198-1,ACTIVE,Iron [Mass/volume] in Serum or Plasma --1st specimen,Iron sp1 SerPl-mCnc,1,Iron^1st specimen,MCnc,Pt,Ser/Plas,Qn,,ug/dL,CHEM
Serum Iron,26,50199-9,https://loinc.org/50199-9,ACTIVE,Iron [Mass/volume] in Serum or Plasma --2nd specimen,Iron sp2 SerPl-mCnc,1,Iron^2nd specimen,MCnc,Pt,Ser/Plas,Qn,,ug/dL,CHEM
Serum Iron,27,2501-5,https://loinc.org/2501-5,ACTIVE,Iron binding capacity.unsaturated [Mass/volume] in Serum or Plasma,UIBC SerPl-mCnc,1,Iron binding capacity.unsaturated,MCnc,Pt,Ser/Plas,Qn,,ug/dL,CHEM
Haemoglobin (Hb%),1,64117-5,https://loinc.org/64117-5,ACTIVE,Most predominant hemoglobin in DBS,Most predominant Hb DBS,1,Most predominant hemoglobin,Find,Pt,Bld.dot,Nom,,,HEM/BC
Haemoglobin (Hb%),2,64121-7,https://loinc.org/64121-7,ACTIVE,Fifth most predominant hemoglobin in DBS,5th most predominant Hb DBS,1,Fifth most predominant hemoglobin,Find,Pt,Bld.dot,Nom,,,HEM/BC
Haemoglobin (Hb%),3,64118-3,https://loinc.org/64118-3,ACTIVE,Second most predominant hemoglobin in DBS,2nd most predominant Hb DBS,1,Second most predominant hemoglobin,Find,Pt,Bld.dot,Nom,,,HEM/BC
Haemoglobin (Hb%),4,64120-9,https://loinc.org/64120-9,ACTIVE,Fourth most predominant hemoglobin in DBS,4th most predominant Hb DBS,1,Fourth most predominant hemoglobin,Find,Pt,Bld.dot,Nom,,,HEM/BC
Haemoglobin (Hb%),5,64119-1,https://loinc.org/64119-1,ACTIVE,Third most predominant hemoglobin in DBS,3rd most predominant Hb DBS,1,Third most predominant hemoglobin,Find,Pt,Bld.dot,Nom,,,HEM/BC
Haemoglobin (Hb%),6,11559-2,https://loinc.org/11559-2,ACTIVE,Fractional oxyhemoglobin in Blood,OxyHgb MFr Bld,1,Oxyhemoglobin/Hemoglobin.total,MFr,Pt,Bld,Qn,,%,CHEM
Haemoglobin (Hb%),7,2717-7,https://loinc.org/2717-7,ACTIVE,Fractional oxyhemoglobin in Plasma,OxyHgb MFr Plas,1,Oxyhemoglobin/Hemoglobin.total,MFr,Pt,Plas,Qn,,%,CHEM
Haemoglobin (Hb%),8,97551-6,https://loinc.org/97551-6,ACTIVE,Carboxyhemoglobin/Hemoglobin.total in Central venous blood,COHgb MFr BldCV,1,Carboxyhemoglobin/Hemoglobin.total,MFr,Pt,BldCV,Qn,,%,CHEM
Haemoglobin (Hb%),9,97552-4,https://loinc.org/97552-4,ACTIVE,Fractional oxyhemoglobin in Central venous blood,OxyHgb MFr BldCV,1,Oxyhemoglobin/Hemoglobin.total,MFr,Pt,BldCV,Qn,,%,CHEM
Haemoglobin (Hb%),10,34969-6,https://loinc.org/34969-6,ACTIVE,Fractional oxyhemoglobin in Mixed venous blood,OxyHgb MFr BldMV,1,Oxyhemoglobin/Hemoglobin.total,MFr,Pt,BldMV,Qn,,%,CHEM
Haemoglobin (Hb%),11,71840-3,https://loinc.org/71840-3,ACTIVE,Oxyhemoglobin/Hemoglobin.total [Pure mass fraction] in Blood,OxyHgb MFr.DF Bld,1,Oxyhemoglobin/Hemoglobin.total,MFr.DF,Pt,Bld,Qn,,,CHEM
Haemoglobin (Hb%),12,106876-6,https://loinc.org/106876-6,ACTIVE,Hemoglobin-haptoglobin complex [Mass/volume] in Stool,Hp-Hb complex Stl-mCnc,1,Hemoglobin-haptoglobin complex,MCnc,Pt,Stool,Qn,,ng/mL,HEM/BC
Haemoglobin (Hb%),13,20563-3,https://loinc.org/20563-3,ACTIVE,Carboxyhemoglobin/Hemoglobin.total in Blood,COHgb MFr Bld,1,Carboxyhemoglobin/Hemoglobin.total,MFr,Pt,Bld,Qn,,%,CHEM
Haemoglobin (Hb%),14,63523-5,https://loinc.org/63523-5,ACTIVE,Carboxyhemoglobin/Hemoglobin.total in Arterial cord blood,COHgb MFr BldCoA,1,Carboxyhemoglobin/Hemoglobin.total,MFr,Pt,BldCoA,Qn,,%,CHEM
Haemoglobin (Hb%),15,63524-3,https://loinc.org/63524-3,ACTIVE,Carboxyhemoglobin/Hemoglobin.total in Venous cord blood,COHgb MFr BldCoV,1,Carboxyhemoglobin/Hemoglobin.total,MFr,Pt,BldCoV,Qn,,%,CHEM
Haemoglobin (Hb%),16,30370-1,https://loinc.org/30370-1,ACTIVE,Fractional oxyhemoglobin in Arterial cord blood,OxyHgb MFr BldCoA,1,Oxyhemoglobin/Hemoglobin.total,MFr,Pt,BldCoA,Qn,,%,CHEM
Haemoglobin (Hb%),17,30369-3,https://loinc.org/30369-3,ACTIVE,Fractional oxyhemoglobin in Venous cord blood,OxyHgb MFr BldCoV,1,Oxyhemoglobin/Hemoglobin.total,MFr,Pt,BldCoV,Qn,,%,CHEM
Haemoglobin (Hb%),18,2716-9,https://loinc.org/2716-9,ACTIVE,Fractional oxyhemoglobin in Venous blood,OxyHgb MFr BldV,1,Oxyhemoglobin/Hemoglobin.total,MFr,Pt,BldV,Qn,,%,CHEM
Haemoglobin (Hb%),19,71837-9,https://loinc.org/71837-9,ACTIVE,Oxyhemoglobin/Hemoglobin.total [Pure mass fraction] in Mixed venous blood,OxyHgb MFr.DF BldMV,1,Oxyhemoglobin/Hemoglobin.total,MFr.DF,Pt,BldMV,Qn,,,CHEM
Haemoglobin (Hb%),21,4470-1,https://loinc.org/4470-1,ACTIVE,Choleglobin/Hemoglobin.total in Blood,Choleglobin MFr Bld,1,Choleglobin/Hemoglobin.total,MFr,Pt,Bld,Qn,,%,HEM/BC
Haemoglobin (Hb%),22,2030-5,https://loinc.org/2030-5,ACTIVE,Carboxyhemoglobin/Hemoglobin.total in Arterial blood,COHgb MFr BldA,1,Carboxyhemoglobin/Hemoglobin.total,MFr,Pt,BldA,Qn,,%,CHEM
Haemoglobin (Hb%),23,2031-3,https://loinc.org/2031-3,ACTIVE,Carboxyhemoglobin/Hemoglobin.total in Capillary blood,COHgb MFr BldC,1,Carboxyhemoglobin/Hemoglobin.total,MFr,Pt,BldC,Qn,,%,CHEM
Haemoglobin (Hb%),24,41648-7,https://loinc.org/41648-7,ACTIVE,Carboxyhemoglobin/Hemoglobin.total in Mixed venous blood,COHgb MFr BldMV,1,Carboxyhemoglobin/Hemoglobin.total,MFr,Pt,BldMV,Qn,,%,CHEM
Haemoglobin (Hb%),25,2032-1,https://loinc.org/2032-1,ACTIVE,Carboxyhemoglobin/Hemoglobin.total in Venous blood,COHgb MFr BldV,1,Carboxyhemoglobin/Hemoglobin.total,MFr,Pt,BldV,Qn,,%,CHEM
Haemoglobin (Hb%),26,71890-8,https://loinc.org/71890-8,ACTIVE,Carboxyhemoglobin/Hemoglobin.total [Pure mass fraction] in Blood,COHgb MFr.DF Bld,1,Carboxyhemoglobin/Hemoglobin.total,MFr.DF,Pt,Bld,Qn,,,CHEM
Haemoglobin (Hb%),27,71887-4,https://loinc.org/71887-4,ACTIVE,Carboxyhemoglobin/Hemoglobin.total [Pure mass fraction] in Arterial cord blood,COHgb MFr.DF BldCoA,1,Carboxyhemoglobin/Hemoglobin.total,MFr.DF,Pt,BldCoA,Qn,,,CHEM
Haemoglobin (Hb%),28,71886-6,https://loinc.org/71886-6,ACTIVE,Carboxyhemoglobin/Hemoglobin.total [Pure mass fraction] in Venous cord blood,COHgb MFr.DF BldCoV,1,Carboxyhemoglobin/Hemoglobin.total,MFr.DF,Pt,BldCoV,Qn,,,CHEM
Haemoglobin (Hb%),29,71885-8,https://loinc.org/71885-8,ACTIVE,Carboxyhemoglobin/Hemoglobin.total [Pure mass fraction] in Mixed venous blood,COHgb MFr.DF BldMV,1,Carboxyhemoglobin/Hemoglobin.total,MFr.DF,Pt,BldMV,Qn,,,CHEM
Haemoglobin (Hb%),30,87433-9,https://loinc.org/87433-9,ACTIVE,Free hemoglobin and oxyhemoglobin panel - Plasma,Hgb Free + OxyHgb Pnl Plas,1,Hemoglobin.free & oxyhemoglobin panel,-,Pt,Plas,Qn,,,PANEL.HEM/BC
Haemoglobin (Hb%),33,2714-4,https://loinc.org/2714-4,ACTIVE,Fractional oxyhemoglobin in Arterial blood,OxyHgb MFr BldA,1,Oxyhemoglobin/Hemoglobin.total,MFr,Pt,BldA,Qn,,%,CHEM
Haemoglobin (Hb%),34,2715-1,https://loinc.org/2715-1,ACTIVE,Fractional oxyhemoglobin in Capillary blood,OxyHgb MFr BldC,1,Oxyhemoglobin/Hemoglobin.total,MFr,Pt,BldC,Qn,,%,CHEM
Haemoglobin (Hb%),35,71839-5,https://loinc.org/71839-5,ACTIVE,Oxyhemoglobin/Hemoglobin.total [Pure mass fraction] in Arterial blood,OxyHgb MFr.DF BldA,1,Oxyhemoglobin/Hemoglobin.total,MFr.DF,Pt,BldA,Qn,,,CHEM
Haemoglobin (Hb%),36,71838-7,https://loinc.org/71838-7,ACTIVE,Oxyhemoglobin/Hemoglobin.total [Pure mass fraction] in Capillary blood,OxyHgb MFr.DF BldC,1,Oxyhemoglobin/Hemoglobin.total,MFr.DF,Pt,BldC,Qn,,,CHEM
Haemoglobin (Hb%),37,71836-1,https://loinc.org/71836-1,ACTIVE,Oxyhemoglobin/Hemoglobin.total [Pure mass fraction] in Venous blood,OxyHgb MFr.DF BldV,1,Oxyhemoglobin/Hemoglobin.total,MFr.DF,Pt,BldV,Qn,,,CHEM
Haemoglobin (Hb%),38,64116-7,https://loinc.org/64116-7,ACTIVE,Hemoglobin observations newborn screening panel,Hb observations NBS pnl DBS,1,Hemoglobin observations newborn screening panel,-,Pt,Bld.dot,-,,,PANEL.HEM/BC
Haemoglobin (Hb%),39,726-0,https://loinc.org/726-0,ACTIVE,Hemoglobin [Mass/volume] in Urine,Hgb Ur-mCnc,1,Hemoglobin,MCnc,Pt,Urine,Qn,,mg/dL,UA
Haemoglobin (Hb%),41,71889-0,https://loinc.org/71889-0,ACTIVE,Carboxyhemoglobin/Hemoglobin.total [Pure mass fraction] in Arterial blood,COHgb MFr.DF BldA,1,Carboxyhemoglobin/Hemoglobin.total,MFr.DF,Pt,BldA,Qn,,,CHEM
Haemoglobin (Hb%),42,71888-2,https://loinc.org/71888-2,ACTIVE,Carboxyhemoglobin/Hemoglobin.total [Pure mass fraction] in Capillary blood,COHgb MFr.DF BldC,1,Carboxyhemoglobin/Hemoglobin.total,MFr.DF,Pt,BldC,Qn,,,CHEM
